,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Felipe Carrillo Puerto,MX,76.95,overcast clouds,19.5833,-88.05,Hotel La Ceiba
15,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
16,Rodrigues Alves,BR,76.59,scattered clouds,-7.738,-72.6509,Pousada Aconchego
17,Baiao,BR,75.54,overcast clouds,-2.7906,-49.6717,Município de Baião
25,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
27,Georgetown,MY,83.23,few clouds,5.4112,100.3354,Cititel Penang
28,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
29,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
32,Hithadhoo,MV,82.2,scattered clouds,-0.6,73.0833,Scoop Guest House
45,Libreville,GA,80.62,thunderstorm,0.3925,9.4537,Hotel Kreg Le Patio
51,Marawi,PH,80.51,overcast clouds,7.9986,124.2928,Derogongan Residence
76,Abu Dhabi,AE,80.62,clear sky,24.4667,54.3667,Beach Rotana
78,Jiwani,PK,82.92,clear sky,25.05,61.7417,Hooth Market
83,Sokoni,TZ,78.01,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
87,Axim,GH,77.43,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
91,Salinopolis,BR,79.93,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
92,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
95,Kavaratti,IN,81.34,clear sky,10.5669,72.642,Green leaf
99,Contamana,PE,81.66,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
101,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
112,Mayumba,GA,76.26,light rain,-3.432,10.6554,LIKWALE LODGE
115,Savannah Bight,HN,82.98,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
127,Roura,GF,76.91,overcast clouds,4.7263,-52.3274,Amazonie Découverte SARL
137,Cockburn Town,TC,80.51,clear sky,21.4612,-71.1419,Osprey Beach Hotel
139,Lodwar,KE,81.75,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
140,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
146,Bengkulu,ID,79.16,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
147,Mahibadhoo,MV,80.83,clear sky,3.7833,72.9667,Omadhoo Inn
152,Victoria,HK,79.03,scattered clouds,22.2855,114.1577,Mini Central
154,Trairi,BR,77.38,overcast clouds,-3.2778,-39.2689,janelas do mar
158,Turiacu,BR,75.06,overcast clouds,-1.6633,-45.3717,Pousada Maranata
168,Bandarbeyla,SO,77.92,light rain,9.4942,50.8122,JABIR HOTEL
173,Manaure,CO,81.37,overcast clouds,11.7751,-72.4445,Hotel Palaaima
176,Alto Araguaia,BR,75.74,scattered clouds,-17.3147,-53.2153,Araguaia Palace Hotel
182,Omboue,GA,76.8,light rain,-1.5746,9.2618,Hotel Olako
191,Dhidhdhoo,MV,81.68,clear sky,6.8833,73.1,Dhidhoo beach
194,Ailigandi,PA,79.0,light rain,9.2333,-78.0167,Akwa Reef Lodge
