City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,East London,-33.0153,27.9116,64.33,85,0,15.3,ZA,2022-10-27 01:36:37,clear sky
1,Grand-Santi,4.25,-54.3833,73.08,96,53,2.55,GF,2022-10-27 01:36:37,light rain
2,Colares,38.7992,-9.4469,70.75,97,100,15.01,PT,2022-10-27 01:36:38,overcast clouds
3,Blind River,46.1834,-82.9582,41.11,65,100,14.27,CA,2022-10-27 01:36:38,overcast clouds
4,Ushuaia,-54.8,-68.3,47.86,57,100,11.5,AR,2022-10-27 01:36:38,light intensity drizzle
5,Felipe Carrillo Puerto,19.5833,-88.05,76.95,79,99,2.62,MX,2022-10-27 01:36:39,overcast clouds
6,Danane,7.2596,-8.155,69.91,99,94,1.34,CI,2022-10-27 01:36:39,overcast clouds
7,Bredasdorp,-34.5322,20.0403,57.47,97,100,2.84,ZA,2022-10-27 01:36:39,overcast clouds
8,Longyearbyen,78.2186,15.6401,13.68,77,90,4.83,SJ,2022-10-27 01:36:40,overcast clouds
9,Pacasmayo,-7.4006,-79.5714,61.45,88,66,9.71,PE,2022-10-27 01:36:40,broken clouds
10,Tasiilaq,65.6145,-37.6368,30.36,95,86,5.75,GL,2022-10-27 01:36:40,overcast clouds
11,Saint-Philippe,-21.3585,55.7679,71.19,81,96,11.43,RE,2022-10-27 01:36:41,overcast clouds
12,Gat,31.61,34.7642,69.4,70,0,2.33,IL,2022-10-27 01:36:41,clear sky
13,Virginia Beach,36.8529,-75.978,65.01,93,100,4.61,US,2022-10-27 01:34:52,overcast clouds
14,Blagoveshchensk,50.2667,127.5333,34.41,47,0,11.18,RU,2022-10-27 01:36:41,clear sky
15,Olinda,-8.0089,-34.8553,80.33,69,40,5.75,BR,2022-10-27 01:36:42,scattered clouds
16,Rodrigues Alves,-7.738,-72.6509,76.59,86,36,2.15,BR,2022-10-27 01:36:42,scattered clouds
17,Baiao,-2.7906,-49.6717,75.54,85,100,0.78,BR,2022-10-27 01:36:42,overcast clouds
18,Vardo,70.3705,31.1107,33.78,93,100,5.75,NO,2022-10-27 01:36:43,overcast clouds
19,Busselton,-33.65,115.3333,59.79,43,16,5.68,AU,2022-10-27 01:36:43,few clouds
20,Lebu,-37.6167,-73.65,49.5,92,7,8.01,CL,2022-10-27 01:36:43,clear sky
21,Kostomuksha,64.571,30.5767,34.11,99,100,5.28,RU,2022-10-27 01:36:44,overcast clouds
22,Tukrah,32.5341,20.5791,67.78,76,0,7.56,LY,2022-10-27 01:36:44,clear sky
23,Arraial Do Cabo,-22.9661,-42.0278,72.0,84,55,21.85,BR,2022-10-27 01:36:44,broken clouds
24,Chuy,-33.6971,-53.4616,63.84,93,99,12.91,UY,2022-10-27 01:36:45,overcast clouds
25,Cayenne,4.9333,-52.3333,77.04,94,100,2.3,GF,2022-10-27 01:36:45,overcast clouds
26,Karasjok,69.4719,25.5112,27.12,98,98,1.25,NO,2022-10-27 01:36:45,overcast clouds
